id,name,model,health,level,guard,attackBonus,walkSpeed,runSpeed,attackRange,chaseRange,attackCooldown,attackImpactDelay,attackDamageTextDelay,damageRoll,behavior,animIdle,animWalk,animRun,animAttack,animAttackIdle,animHit,animDie,animDead,weapon,weaponDropChance,weaponBone,deathPlaysHit,material,dungeonMinDepth,dungeonMaxDepth,dungeonWeight,dungeonAggressive,corpseGroundOffset,deathFadeSeconds,scale,boss,sharedAnims,hitDebuff,weaponOffset,size,race
scp939,Stalker,monsters/scp939.glb,,3,10,,1.0,8.0,3.0,25.0,4100,700,700,,timid,939_Idle,939_Walking,939_Running,939_Attack1,939_Idle,939_AddStagger1,939_Sleeping,939_Sleeping,,,,false,flesh,5,11,2,true,,1.0,,,,,,,aberration
kobold,Kobold,monsters/kobold.glb,,1,8,,0.7,3.2,2.0,20.0,1900,450,450,,timid,Idle_Loop_Rig,Walk_Loop_Rig,Jog_Fwd_Loop_Rig,Sword_Attack_Rig,Idle_Loop_Rig,Hit_Chest_Rig,Death01_Rig,Death01_Rig,small_sword,0.1,RightHand,true,leather,1,4,2,true,-0.17,,,,,,,small,goblinoid
goblin,Goblin,monsters/goblin.glb,,2,9,,0.8,3.5,2.0,22.0,1850,450,450,,brave,Sword_Idle_Rig,Walk_Loop_Rig,Jog_Fwd_Loop_Rig,Sword_Attack_Rig,Sword_Idle_Rig,Hit_Chest_Rig,Death01_Rig,Death01_Rig,small_sword,0.1,RightHand,true,leather,3,8,3,true,,,,,,,,small,goblinoid
orc,Orc,monsters/orc.glb,,4,11,,1.0,4.5,2.0,25.0,1800,450,450,,brave,Sword_Idle_Rig,Walk_Loop_Rig,Jog_Fwd_Loop_Rig,Sword_Attack_Rig,Sword_Idle_Rig,Hit_Chest_Rig,Death01_Rig,Death01_Rig,goblin_sword,0.1,RightHand,true,leather,5,13,2,true,,,,,,,,,orc
orc_female,Female Orc,monsters/orc_female.glb,,4,10,,1.0,4.5,2.0,25.0,1800,450,450,,brave,Sword_Idle_Rig,Walk_Loop_Rig,Jog_Fwd_Loop_Rig,Sword_Attack_Rig,Sword_Idle_Rig,Hit_Chest_Rig,Death01_Rig,Death01_Rig,goblin_sword,0.1,RightHand,true,leather,5,12,1,true,,,,,,,,,orc
hobgoblin,Hobgoblin,monsters/hobgoblin.glb,,5,12,,1.5,4.6,2.2,26.0,1700,540,750,,brave,idle1,walk,run,slash1,combat_idle,,dying,dying,iron_sword,0.1,RightHand,false,leather,6,15,2,true,-0.05,,,,true,,0.12,,goblinoid
gnoll,Gnoll,monsters/gnoll.glb,,6,13,,1.5,5.2,2.3,28.0,1700,750,850,2d6,looter,idle1,walk,run,claw1|claw2,combat_idle,,dying,dying,,,,false,leather,7,20,2,true,-0.05,,,,true,bleed,,,beast
bugbear,Bugbear,monsters/bugbear.glb,,7,14,,1.9,5.4,2.4,28.0,1700,540,750,,brave,idle1,walk,run,slash1,combat_idle,,dying,dying,morningstar,0.1,RightHand,false,leather,8,20,2,true,-0.05,,,,true,,0.2,large,goblinoid
ogre,Ogre,monsters/ogre.glb,,8,15,,1.8,5.1,2.6,28.0,1900,540,750,2d8,brave,idle1,walk,run,slash1,combat_idle,,dying,dying,greatclub,0.1,RightHand,false,flesh,9,20,2,true,-0.05,,,,true,,0.24,large,giant
troll,Troll,monsters/troll.glb,,9,16,,2.3,6.5,2.8,28.0,1800,750,850,2d10,brave,idle1,walk,run,claw1|claw2,combat_idle,,dying,dying,,,,false,flesh,10,20,2,true,-0.05,,,,true,bleed,,large,giant
orc_boss,Orc Warlord,monsters/orc.glb,120,10,13,,1.3,5.9,2.2,28.0,1700,450,450,,brave,Sword_Idle_Rig,Walk_Loop_Rig,Jog_Fwd_Loop_Rig,Sword_Attack_Rig,Sword_Idle_Rig,Hit_Chest_Rig,Death01_Rig,Death01_Rig,iron_sword,1.0,RightHand,true,leather,,,,,,,1.3,true,,,,large,orc
goblin_boss,Goblin Chief,monsters/goblin.glb,,5,11,,1.1,4.9,2.0,25.0,1750,450,450,,brave,Sword_Idle_Rig,Walk_Loop_Rig,Jog_Fwd_Loop_Rig,Sword_Attack_Rig,Sword_Idle_Rig,Hit_Chest_Rig,Death01_Rig,Death01_Rig,goblin_sword,1.0,RightHand,true,leather,,,,,,,1.4,true,,,,,goblinoid
ogre_boss,Ogre Warlord,monsters/ogre.glb,140,10,17,,2.2,6.1,2.8,28.0,1800,540,750,,brave,idle1,walk,run,slash1,combat_idle,,dying,dying,greatclub,1.0,RightHand,false,flesh,,,,,-0.05,,1.2,true,true,,0.24,large,giant
goblin_raider,Goblin Raider,monsters/goblin.glb,,11,18,,0.9,4.0,2.0,22.0,1850,450,450,,looter,Sword_Idle_Rig,Walk_Loop_Rig,Jog_Fwd_Loop_Rig,Sword_Attack_Rig,Sword_Idle_Rig,Hit_Chest_Rig,Death01_Rig,Death01_Rig,small_sword,0.2,RightHand,true,leather,11,17,2,true,,,1.15,,,,,small,goblinoid
orc_veteran,Orc Veteran,monsters/orc.glb,,12,19,,1.1,5.2,2.0,25.0,1800,450,450,,brave,Sword_Idle_Rig,Walk_Loop_Rig,Jog_Fwd_Loop_Rig,Sword_Attack_Rig,Sword_Idle_Rig,Hit_Chest_Rig,Death01_Rig,Death01_Rig,goblin_sword,0.2,RightHand,true,leather,12,18,2,true,,,1.15,,,,,,orc
